Company,Date,Open,High,Low,Close,Volume
NSE 20 SHARE INDEX,2013-12-30,4874.29,4874.29,4874.29,4874.29,18987300
NSE 20 SHARE INDEX,2013-12-27,4886.52,4886.52,4886.52,4886.52,12439400
NSE 20 SHARE INDEX,2013-12-24,4885.87,4885.87,4885.87,4885.87,5980500
NSE 20 SHARE INDEX,2013-12-23,4851.84,4851.84,4851.84,4851.84,7178600
NSE 20 SHARE INDEX,2013-12-20,4851.06,4851.06,4851.06,4851.06,19243600
NSE 20 SHARE INDEX,2013-12-19,4849.3,4849.3,4849.3,4849.3,24932400
NSE 20 SHARE INDEX,2013-12-18,4855.5,4855.5,4855.5,4855.5,23172400
NSE 20 SHARE INDEX,2013-12-17,4876.05,4876.05,4876.05,4876.05,34402900
NSE 20 SHARE INDEX,2013-12-16,4912.36,4912.36,4912.36,4912.36,25406900
NSE 20 SHARE INDEX,2013-12-11,4913.55,4913.55,4913.55,4913.55,32660200
NSE 20 SHARE INDEX,2013-12-10,4943.64,4943.64,4943.64,4943.64,40047300
NSE 20 SHARE INDEX,2013-12-09,4969.32,4969.32,4969.32,4969.32,18642000
NSE 20 SHARE INDEX,2013-12-06,4976.77,4976.77,4976.77,4976.77,21482000
NSE 20 SHARE INDEX,2013-12-05,5005.45,5005.45,5005.45,5005.45,31512900
NSE 20 SHARE INDEX,2013-12-04,5042.94,5042.94,5042.94,5042.94,26283700
NSE 20 SHARE INDEX,2013-12-03,5076.47,5076.47,5076.47,5076.47,25044600
NSE 20 SHARE INDEX,2013-12-02,5072.87,5072.87,5072.87,5072.87,8563700
NSE 20 SHARE INDEX,2013-11-29,5100.88,5100.88,5100.88,5100.88,10486600
NSE 20 SHARE INDEX,2013-11-28,5137.21,5137.21,5137.21,5137.21,17454900
NSE 20 SHARE INDEX,2013-11-27,5125.74,5125.74,5125.74,5125.74,20257500
NSE 20 SHARE INDEX,2013-11-26,5085.83,5085.83,5085.83,5085.83,70905800
NSE 20 SHARE INDEX,2013-11-25,5068.36,5068.36,5068.36,5068.36,21768700
NSE 20 SHARE INDEX,2013-11-22,5054.21,5054.21,5054.21,5054.21,40776900
NSE 20 SHARE INDEX,2013-11-21,5053.91,5053.91,5053.91,5053.91,33202600
NSE 20 SHARE INDEX,2013-11-20,5024.08,5024.08,5024.08,5024.08,14156300
NSE 20 SHARE INDEX,2013-11-19,5052.63,5052.63,5052.63,5052.63,19561200
NSE 20 SHARE INDEX,2013-11-18,5058.16,5058.16,5058.16,5058.16,15077300
NSE 20 SHARE INDEX,2013-11-15,5043.58,5043.58,5043.58,5043.58,16747200
NSE 20 SHARE INDEX,2013-11-14,5030.76,5030.76,5030.76,5030.76,23593200
NSE 20 SHARE INDEX,2013-11-13,5026.82,5026.82,5026.82,5026.82,16185800
NSE 20 SHARE INDEX,2013-11-12,5031.02,5031.02,5031.02,5031.02,20677800
NSE 20 SHARE INDEX,2013-11-11,5027.28,5027.28,5027.28,5027.28,15522700
NSE 20 SHARE INDEX,2013-11-08,5019.18,5019.18,5019.18,5019.18,25409600
NSE 20 SHARE INDEX,2013-11-07,5017.78,5017.78,5017.78,5017.78,35082100
NSE 20 SHARE INDEX,2013-11-06,4990.24,4990.24,4990.24,4990.24,51296500
NSE 20 SHARE INDEX,2013-11-05,4954.69,4954.69,4954.69,4954.69,24107200
NSE 20 SHARE INDEX,2013-11-04,4964.42,4964.42,4964.42,4964.42,23701100
NSE 20 SHARE INDEX,2013-11-01,4989.97,4989.97,4989.97,4989.97,13572200
NSE 20 SHARE INDEX,2013-10-31,4992.88,4992.88,4992.88,4992.88,29655600
NSE 20 SHARE INDEX,2013-10-30,4970.88,4970.88,4970.88,4970.88,35981500
NSE 20 SHARE INDEX,2013-10-28,4940.32,4940.32,4940.32,4940.32,9613300
NSE 20 SHARE INDEX,2013-10-25,4935.91,4935.91,4935.91,4935.91,21286500
NSE 20 SHARE INDEX,2013-10-24,4949.65,4949.65,4949.65,4949.65,50805400
NSE 20 SHARE INDEX,2013-10-23,4953.84,4953.84,4953.84,4953.84,55961400
NSE 20 SHARE INDEX,2013-10-22,4943.83,4943.83,4943.83,4943.83,14393900
NSE 20 SHARE INDEX,2013-10-18,4948.77,4948.77,4948.77,4948.77,28797700
NSE 20 SHARE INDEX,2013-10-17,4919.17,4919.17,4919.17,4919.17,8762500
NSE 20 SHARE INDEX,2013-10-16,4923.47,4923.47,4923.47,4923.47,24719800
NSE 20 SHARE INDEX,2013-10-15,4934.07,4934.07,4934.07,4934.07,33488600
NSE 20 SHARE INDEX,2013-10-14,4925.96,4925.96,4925.96,4925.96,35078200
NSE 20 SHARE INDEX,2013-10-11,4929.62,4929.62,4929.62,4929.62,70690704
NSE 20 SHARE INDEX,2013-10-10,4947,4947,4947,4947,45371900
NSE 20 SHARE INDEX,2013-10-09,4946.02,4946.02,4946.02,4946.02,36346300
NSE 20 SHARE INDEX,2013-10-08,4930.79,4930.79,4930.79,4930.79,49710600
NSE 20 SHARE INDEX,2013-10-07,4881.44,4881.44,4881.44,4881.44,42318600
NSE 20 SHARE INDEX,2013-10-04,4841.33,4841.33,4841.33,4841.33,24060400
NSE 20 SHARE INDEX,2013-10-03,4838.07,4838.07,4838.07,4838.07,30442200
NSE 20 SHARE INDEX,2013-10-02,4830.38,4830.38,4830.38,4830.38,43896900
NSE 20 SHARE INDEX,2013-10-01,4804.48,4804.48,4804.48,4804.48,2583100
NSE 20 SHARE INDEX,2013-09-30,4793.2,4793.2,4793.2,4793.2,15823100
NSE 20 SHARE INDEX,2013-09-27,4768.03,4768.03,4768.03,4768.03,11539900
NSE 20 SHARE INDEX,2013-09-26,4764.12,4764.12,4764.12,4764.12,17770200
NSE 20 SHARE INDEX,2013-09-25,4746.71,4746.71,4746.71,4746.71,39947200
NSE 20 SHARE INDEX,2013-09-24,4729.3,4729.3,4729.3,4729.3,36990100
NSE 20 SHARE INDEX,2013-09-23,4739.42,4739.42,4739.42,4739.42,12700800
NSE 20 SHARE INDEX,2013-09-20,4751.82,4751.82,4751.82,4751.82,26172500
NSE 20 SHARE INDEX,2013-09-19,4745.47,4745.47,4745.47,4745.47,13883000
NSE 20 SHARE INDEX,2013-09-18,4728.03,4728.03,4728.03,4728.03,19550100
NSE 20 SHARE INDEX,2013-09-17,4715.34,4715.34,4715.34,4715.34,31126800
NSE 20 SHARE INDEX,2013-09-16,4710.36,4710.36,4710.36,4710.36,18314300
NSE 20 SHARE INDEX,2013-09-13,4749.32,4749.32,4749.32,4749.32,21263300
NSE 20 SHARE INDEX,2013-09-12,4732.92,4732.92,4732.92,4732.92,22069400
NSE 20 SHARE INDEX,2013-09-11,4727.66,4727.66,4727.66,4727.66,28317000
NSE 20 SHARE INDEX,2013-09-10,4722.91,4722.91,4722.91,4722.91,9891100
NSE 20 SHARE INDEX,2013-09-09,4722.89,4722.89,4722.89,4722.89,20687000
