Company,Date,Open,High,Low,Close,Volume
NGSE ALL SHARE INDEX,2013-05-20,36907.81,37116.48,36721.23,36817.75,390921344
NGSE ALL SHARE INDEX,2013-05-17,36400.16,36927.69,36378.44,36907.81,484347040
NGSE ALL SHARE INDEX,2013-05-16,36236.49,36405.18,36236.49,36400.16,380900256
NGSE ALL SHARE INDEX,2013-05-15,35994.67,36236.49,35957.23,36236.49,371255360
NGSE ALL SHARE INDEX,2013-05-14,35956.05,36007.32,35846.75,35994.67,433154464
NGSE ALL SHARE INDEX,2013-05-13,36010.24,36162.05,35861.49,35956.05,622512512
NGSE ALL SHARE INDEX,2013-05-10,35782.09,36010.28,35710.42,36010.28,315724480
NGSE ALL SHARE INDEX,2013-05-09,35486.44,35812.07,35456.51,35782.09,392160800
NGSE ALL SHARE INDEX,2013-05-08,34815.24,35496.14,34774.35,35486.44,390685824
NGSE ALL SHARE INDEX,2013-05-07,34935.62,34992.79,34350.7,34815.24,354285472
NGSE ALL SHARE INDEX,2013-05-06,35109.33,35232.38,34935.62,34935.62,233270048
NGSE ALL SHARE INDEX,2013-05-03,34502.38,35116.35,34501.5,35109.33,573468992
NGSE ALL SHARE INDEX,2013-05-02,33440.57,34528.52,33417.12,34502.38,303258208
NGSE ALL SHARE INDEX,2013-04-30,33030.83,33440.57,33021.48,33440.57,435964448
NGSE ALL SHARE INDEX,2013-04-29,33159.08,33345.05,32921.8,33030.83,197172992
NGSE ALL SHARE INDEX,2013-04-26,33271.34,33295.48,32932.18,33159.08,123538752
NGSE ALL SHARE INDEX,2013-04-25,33432.68,33550.44,33095.26,33271.34,634713088
NGSE ALL SHARE INDEX,2013-04-24,33086.29,33612.4,33086.29,33432.68,342093440
NGSE ALL SHARE INDEX,2013-04-23,33090.05,33124.19,33042.06,33086.29,316088928
NGSE ALL SHARE INDEX,2013-04-22,32993.97,33190.15,32963.69,33099.26,317661568
NGSE ALL SHARE INDEX,2013-04-19,32887.46,33041.8,32885.58,32993.97,255420864
NGSE ALL SHARE INDEX,2013-04-18,33352.97,33363.34,32840.54,32887.46,355018944
NGSE ALL SHARE INDEX,2013-04-17,33334.67,33714.15,33334.67,33352.97,766565696
NGSE ALL SHARE INDEX,2013-04-16,33532.89,33610.54,33322.31,33334.67,352150752
NGSE ALL SHARE INDEX,2013-04-15,33514.14,33706.12,33388.22,33532.89,384602304
NGSE ALL SHARE INDEX,2013-04-12,33466.76,33546.76,33433.82,33514.14,340243328
NGSE ALL SHARE INDEX,2013-04-11,33665.58,33776.88,33466.76,33466.76,375905728
NGSE ALL SHARE INDEX,2013-04-10,34089.01,34089.01,33266.12,33665.58,573759616
NGSE ALL SHARE INDEX,2013-04-09,34810.25,34859.2,34065.68,34089.01,408195904
NGSE ALL SHARE INDEX,2013-04-08,34301.37,34828.07,34292.6,34810.25,492809728
NGSE ALL SHARE INDEX,2013-04-05,34339.65,34364.68,34232.42,34301.37,377912960
NGSE ALL SHARE INDEX,2013-04-04,34584.73,34764.09,34326.92,34339.65,418603744
NGSE ALL SHARE INDEX,2013-04-03,34351.87,34875.5,34227.49,34548.73,516337216
NGSE ALL SHARE INDEX,2013-04-02,33536.25,34444.31,33489.04,34351.87,291263424
NGSE ALL SHARE INDEX,2013-03-28,33468.89,33603.29,33137.46,33536.25,456718944
NGSE ALL SHARE INDEX,2013-03-27,33429.46,33737.59,33393.3,33468.89,305320128
NGSE ALL SHARE INDEX,2013-03-26,33467.78,33580.53,33395.46,33429.46,368011264
NGSE ALL SHARE INDEX,2013-03-25,33506.88,33621.61,33415.53,33467.78,481544288
NGSE ALL SHARE INDEX,2013-03-22,33361.96,33601.57,33350.72,33506.88,296258208
NGSE ALL SHARE INDEX,2013-03-21,33207.21,33423.04,33154.56,33361.96,409805920
NGSE ALL SHARE INDEX,2013-03-20,33298.74,33323.18,33177.72,33207.21,314008128
NGSE ALL SHARE INDEX,2013-03-19,33244.17,33415.43,33232.22,33298.74,288734048
NGSE ALL SHARE INDEX,2013-03-18,32950.08,33264.7,32950.08,33243.54,224477312
NGSE ALL SHARE INDEX,2013-03-15,33207.02,33233.92,32950.08,32950.08,417200576
NGSE ALL SHARE INDEX,2013-03-14,33357.16,33380.14,33207.02,33207.02,623629376
NGSE ALL SHARE INDEX,2013-03-13,33351.71,33488.42,33250.04,33357.16,302374816
NGSE ALL SHARE INDEX,2013-03-12,32890.36,33362.76,32857.94,33351.71,468065760
NGSE ALL SHARE INDEX,2013-03-11,32849.11,32909.12,32811.55,32890.36,698400064
NGSE ALL SHARE INDEX,2013-03-08,32779.08,32849.11,32757,32849.11,423259296
NGSE ALL SHARE INDEX,2013-03-07,32731.08,32796.89,32578.56,32772.7,343833184
NGSE ALL SHARE INDEX,2013-03-06,32784.23,32825.8,32703.54,32731.08,273583104
NGSE ALL SHARE INDEX,2013-03-05,32947.13,32997.86,32716.27,32784.56,459285728
NGSE ALL SHARE INDEX,2013-03-04,33183.2,33233.33,32934.07,32947.13,391164000
NGSE ALL SHARE INDEX,2013-03-01,33075.14,33184.22,32701.85,33183.2,466955008
NGSE ALL SHARE INDEX,2013-02-28,33736.82,33847.39,32997.66,33075.14,409851936
NGSE ALL SHARE INDEX,2013-02-27,33613.87,33765.57,33613.16,33736.82,559287744
NGSE ALL SHARE INDEX,2013-02-26,33811.08,34664.79,33115.89,33613.87,467932416
NGSE ALL SHARE INDEX,2013-02-25,33895.08,33944.95,33751.88,33811.08,358572160
NGSE ALL SHARE INDEX,2013-02-22,33506.6,34249.97,33505.99,33895.08,461183936
NGSE ALL SHARE INDEX,2013-02-21,33708.18,33742.99,33335.88,33506.6,463637440
NGSE ALL SHARE INDEX,2013-02-20,33335.27,33816.04,33334.27,33708.18,421366688
NGSE ALL SHARE INDEX,2013-02-19,33251.51,33337.16,33068.14,33335.11,522713504
NGSE ALL SHARE INDEX,2013-02-18,33258.3,33320.56,32999.01,33251.51,530618304
NGSE ALL SHARE INDEX,2013-02-15,33342.02,33391.61,32943.29,33258.45,523289536
NGSE ALL SHARE INDEX,2013-02-14,33355.54,33483.44,32919.11,33342.02,688870784
NGSE ALL SHARE INDEX,2013-02-13,33487.82,33567.03,33301.43,33355.54,1308616192
